,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
0,blue dunk tanksize extremesfrom low high,1.325000,0.720000,0.710000,1.380000,0.640000,Sadness
1,grown scrappy valley now finds,0.2,0.2,0.2,0.2,0.2,Neutral
2,passing just sublime,0.2,0.2,0.2,0.2,0.2,Neutral
3,want advance human trust autonomous,2.055000,0.770000,0.955000,0.775000,0.675000,Happiness
4,using rare nurse young answer fundamental,1.425000,0.723333,0.865000,0.773333,0.596667,Happiness
5,lot high laps little luck,0.2,0.2,0.2,0.2,0.2,Neutral
6,poison remarkable childrearing theyre helping,0.510000,1.395000,1.900000,1.365000,1.455000,Fear
7,lot high laps little luck,0.2,0.2,0.2,0.2,0.2,Neutral
8,using rare nurse young answer fundamental,0.712500,0.361667,0.432500,0.386667,0.298333,Happiness
9,lot high laps little luck,0.2,0.2,0.2,0.2,0.2,Neutral
10,poison remarkable childrearing theyre helping,0.255000,0.697500,0.950000,0.682500,0.727500,Fear
11,got lucky alex,2.165000,0.690000,0.610000,0.645000,0.595000,Happiness
12,running federal,0.2,0.2,0.2,0.2,0.2,Neutral
13,keeps rolling win penn friday,2.185000,0.675000,0.675000,0.660000,0.585000,Happiness
14,sweep earned least pac,0.2,0.2,0.2,0.2,0.2,Neutral
15,little luck monitored blue wild,3.675000,4.280000,4.290000,3.620000,4.360000,Disgust
16,fun trying take good axe,2.270000,0.552500,0.582500,0.552500,0.540000,Happiness
17,louseal,0.2,0.2,0.2,0.2,0.2,Neutral
18,little remarkable childrearing theyre helping,0.2,0.2,0.2,0.2,0.2,Neutral
19,ten nd big stanford pm,0.2,0.2,0.2,0.2,0.2,Neutral
20,using rare nurse young answer fundamental,0.356250,0.180833,0.216250,0.193333,0.149167,Happiness
21,made beatcal,0.2,0.2,0.2,0.2,0.2,Neutral
22,ears blows whistle yes h,1.500000,0.710000,0.695000,0.640000,0.635000,Happiness
23,make almost always really matter,0.2,0.2,0.2,0.2,0.2,Neutral
24,international,0.2,0.2,0.2,0.2,0.2,Neutral
25,midterm impossible,0.2,0.2,0.2,0.2,0.2,Neutral
26,mourning bearial,0.2,0.2,0.2,0.2,0.2,Neutral
27,somber white oversees bearial,1.280000,0.570000,0.570000,0.630000,0.575000,Happiness
28,created invited,0.2,0.2,0.2,0.2,0.2,Neutral
29,real fake high still difficulty discerning,0.2,0.2,0.2,0.2,0.2,Neutral
30,help faculty officially opened,0.2,0.2,0.2,0.2,0.2,Neutral
31,led provided early safe effective rapid,2.060000,0.510000,0.680000,0.545000,0.515000,Happiness
32,nov fleet programmed relieve,0.2,0.2,0.2,0.2,0.2,Neutral
33,friday,0.2,0.2,0.2,0.2,0.2,Neutral
34,complex environmental enough new led,0.2,0.2,0.2,0.2,0.2,Neutral
35,fellow learned studentathlete almost impo,1.765000,0.850000,0.830000,0.760000,0.555000,Happiness
36,is possible slow experimental deploys decoy,0.750000,1.105000,0.845000,0.945000,0.925000,Anger
37,healthful comfortable,2.110000,0.680000,0.857500,0.780000,0.617500,Happiness
38,ucsf slowed spread neutralizing single,0.375000,0.552500,0.422500,0.472500,0.462500,Anger
39,freshman takes stanford designing ending,0.2,0.2,0.2,0.2,0.2,Neutral
40,nov fleet programmed relieve,0.2,0.2,0.2,0.2,0.2,Neutral
41,find,0.2,0.2,0.2,0.2,0.2,Neutral
42,european drew ancient first genetic,0.2,0.2,0.2,0.2,0.2,Neutral
43,alumna mary elmore first make usventure joined,0.2,0.2,0.2,0.2,0.2,Neutral
44,new complex bringing together accessible whole unive,0.2,0.2,0.2,0.2,0.2,Neutral
45,see succeeded were looking flamed,0.2,0.2,0.2,0.2,0.2,Neutral
46,happy rodin,2.340000,0.540000,0.555000,0.585000,0.550000,Happiness
47,provides broadest yet global,0.2,0.2,0.2,0.2,0.2,Neutral
48,designed tactile make computeraided accessible,0.2,0.2,0.2,0.2,0.2,Neutral
49,alien i think come somewhere else,0.645000,0.735000,1.210000,0.640000,0.845000,Fear
50,see succeeded were looking flamed,0.2,0.2,0.2,0.2,0.2,Neutral
51,see succeeded were looking flamed,0.2,0.2,0.2,0.2,0.2,Neutral
52,alien i think come somewhere else,0.322500,0.367500,0.605000,0.320000,0.422500,Fear
53,reagans famous almost left unsaid says,1.660000,0.650000,0.600000,0.605000,0.690000,Happiness
54,californias cautionary happens vaccination,0.2,0.2,0.2,0.2,0.2,Neutral
55,operative creative,0.2,0.2,0.2,0.2,0.2,Neutral
56,nov fleet programmed relieve,0.2,0.2,0.2,0.2,0.2,Neutral
57,see iandgunther,0.2,0.2,0.2,0.2,0.2,Neutral
58,designed tactile make computeraided accessible,0.2,0.2,0.2,0.2,0.2,Neutral
59,see succeeded were looking flamed,0.2,0.2,0.2,0.2,0.2,Neutral
60,ruptured frog spontaneously selforganize celllike retain,1.090000,0.595000,0.695000,0.625000,0.915000,Happiness
61,there much loose nuclear using former,0.2,0.2,0.2,0.2,0.2,Neutral
62,decline percent impact,0.2,0.2,0.2,0.2,0.2,Neutral
63,took bing,0.2,0.2,0.2,0.2,0.2,Neutral
