,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
0,working broaden economic awarded,0.2,0.2,0.2,0.2,0.2,Neutral
1,new study developed new brains,0.2,0.2,0.2,0.2,0.2,Neutral
2,medical felt drawn molecular instead becoming,0.2,0.2,0.2,0.2,0.2,Neutral
3,new investigate human,0.2,0.2,0.2,0.2,0.2,Neutral
4,skylar makes mechanical alter new,0.2,0.2,0.2,0.2,0.2,Neutral
5,first safe,2.060000,0.510000,0.680000,0.545000,0.515000,Happiness
6,helps build supercharged campus,0.2,0.2,0.2,0.2,0.2,Neutral
7,top awarded arts social mit sloan,1.775000,0.742500,0.807500,0.795000,0.680000,Happiness
8,giving silent first ramping,0.2,0.2,0.2,0.2,0.2,Neutral
9,hosted firstever thankful enjoyed autumninspired,2.140000,0.590000,0.590000,0.715000,0.560000,Happiness
10,happy thanksgiving loved hope safe,2.480000,0.631667,0.738333,0.735833,0.635833,Happiness
11,looking back beloved doc,0.2,0.2,0.2,0.2,0.2,Neutral
12,schwarzman computing,0.2,0.2,0.2,0.2,0.2,Neutral
13,firstyear create see theyre learning real,1.765000,0.850000,0.830000,0.760000,0.555000,Happiness
14,safest obstructed,0.2,0.2,0.2,0.2,0.2,Neutral
15,joint november explored potential unique assessment amp,0.2,0.2,0.2,0.2,0.2,Neutral
16,good old fashioned unofficially set longest,2.210000,0.585000,0.605000,0.570000,0.565000,Happiness
17,gt high competed inaugural invitational hosted amp sponsored,0.2,0.2,0.2,0.2,0.2,Neutral
18,sustainable became cross,0.2,0.2,0.2,0.2,0.2,Neutral
19,teaming harvard build dedicated new genetic,0.2,0.2,0.2,0.2,0.2,Neutral
20,clear protect advanced solar touch,0.2,0.2,0.2,0.2,0.2,Neutral
21,coating imbued nitrogenproducing grow,0.2,0.2,0.2,0.2,0.2,Neutral
22,makes memorable,0.2,0.2,0.2,0.2,0.2,Neutral
23,amber vanhemel broke guinness longest throw hot,0.2,0.2,0.2,0.2,0.2,Neutral
24,led whiteheadinst uncovered missing molecular,0.2,0.2,0.2,0.2,0.2,Neutral
25,check modern origami old nytimes including miteecs ku,0.2,0.2,0.2,0.2,0.2,Neutral
26,commuter described,0.2,0.2,0.2,0.2,0.2,Neutral
27,professional radical help civil modernize,0.2,0.2,0.2,0.2,0.2,Neutral
28,inclusive recognizes improving future,0.2,0.2,0.2,0.2,0.2,Neutral
29,passive layer incoming sunlight heat radiate,2.000000,0.555000,0.545000,0.560000,0.540000,Happiness
30,named ali daher billy anderson,1.270000,0.745000,0.660000,0.695000,0.630000,Happiness
31,generate laser laughing enable better,0.2,0.2,0.2,0.2,0.2,Neutral
32,new led missing makes,0.2,0.2,0.2,0.2,0.2,Neutral
33,big going beginning,0.2,0.2,0.2,0.2,0.2,Neutral
34,there degree arises social says senior,0.917500,0.307500,0.415000,0.325000,0.270000,Happiness
35,help fight,0.720000,1.850000,1.545000,1.380000,1.075000,Anger
36,softbodied move virtually infinite given optimizing,0.2,0.2,0.2,0.2,0.2,Neutral
37,openended racing cross teaching coding rural senior billy woltz,0.2,0.2,0.2,0.2,0.2,Neutral
38,increasing left right amp mitkavli,0.2,0.2,0.2,0.2,0.2,Neutral
39,serve says provide powerful,1.670000,0.800000,1.125000,0.640000,0.655000,Happiness
40,high learn commercial real real,0.882500,0.425000,0.415000,0.380000,0.277500,Happiness
41,need looking says,0.2,0.2,0.2,0.2,0.2,Neutral
42,founded daniel,0.2,0.2,0.2,0.2,0.2,Neutral
43,senior major certified emt scary,0.2,0.2,0.2,0.2,0.2,Neutral
44,selftransforming jump spin developed,0.2,0.2,0.2,0.2,0.2,Neutral
45,iscnsecretariat visiting fellows challenges,0.2,0.2,0.2,0.2,0.2,Neutral
46,patented threeway also invented historic,0.860000,0.665000,0.710000,0.665000,0.615000,Happiness
47,angela awarded federal,0.2,0.2,0.2,0.2,0.2,Neutral
48,developed novel wondering,1.610000,0.605000,0.800000,0.690000,0.595000,Happiness
49,t primed certain,0.2,0.2,0.2,0.2,0.2,Neutral
50,pave electric,0.2,0.2,0.2,0.2,0.2,Neutral
51,work open,0.2,0.2,0.2,0.2,0.2,Neutral
52,long shown controlling robotic tracking simply slow,0.702500,1.257500,0.970000,0.970000,0.990000,Anger
53,collier memorial innovation award winner former,0.2,0.2,0.2,0.2,0.2,Neutral
54,developed remove,0.2,0.2,0.2,0.2,0.2,Neutral
55,higher mit worldwide,0.2,0.2,0.2,0.2,0.2,Neutral
56,involve increasingly carbon new mitei,0.2,0.2,0.2,0.2,0.2,Neutral
57,helping autonomous see sensing tiny shadows new approach,0.760000,0.695000,1.150000,0.855000,0.605000,Fear
58,outreach helped find,0.2,0.2,0.2,0.2,0.2,Neutral
59,middle high spent last saturdays learning robotic,0.441250,0.212500,0.207500,0.190000,0.138750,Happiness
60,big coming senior aggarwaldiscusses,0.2,0.2,0.2,0.2,0.2,Neutral
61,there single low writes ne,0.2,0.2,0.2,0.2,0.2,Neutral
62,walk mildred dresselhaus courtyard celebrates beloved,0.2,0.2,0.2,0.2,0.2,Neutral
63,new produces terahertz pass block visible,0.2,0.2,0.2,0.2,0.2,Neutral
64,senior scholarship syria palestine new scholarshi,0.2,0.2,0.2,0.2,0.2,Neutral
65,fly high keeping safe go awry,0.515000,0.127500,0.170000,0.136250,0.128750,Happiness
66,work jpal north america develop randomized addressing rapidly shifting,0.2,0.2,0.2,0.2,0.2,Neutral
67,more madison womens named academic,0.635000,0.372500,0.330000,0.347500,0.315000,Happiness
68,wanted write marginalized got heroeschristine,0.2,0.2,0.2,0.2,0.2,Neutral
69,professor american influential,0.2,0.2,0.2,0.2,0.2,Neutral
70,based known agonistantagonist myoneural invented,0.2,0.2,0.2,0.2,0.2,Neutral
71,reaching yet many paths new practical,0.2,0.2,0.2,0.2,0.2,Neutral
72,high discovered love founded lifelong,0.2,0.2,0.2,0.2,0.2,Neutral
73,mit elsewhere tracked individual initially benign,0.2,0.2,0.2,0.2,0.2,Neutral
74,cafs semifinalist,0.2,0.2,0.2,0.2,0.2,Neutral
75,elizabeth examined sediment found blue caribbean,1.325000,0.720000,0.710000,1.380000,0.640000,Sadness
76,nondisruptive characterize,0.2,0.2,0.2,0.2,0.2,Neutral
77,nigerian cofounded provides ondemand,0.2,0.2,0.2,0.2,0.2,Neutral
78,new make available remote mitdeveloped lead portable,0.2,0.2,0.2,0.2,0.2,Neutral
79,broad gathered write handwritten made,0.2,0.2,0.2,0.2,0.2,Neutral
80,accomplished first ever geared tackling,0.2,0.2,0.2,0.2,0.2,Neutral
81,kims recently demonstrated physical,0.2,0.2,0.2,0.2,0.2,Neutral
82,new improve,1.980000,0.645000,0.735000,0.625000,0.530000,Happiness
83,kate brown calls modernist suffering,0.2,0.2,0.2,0.2,0.2,Neutral
84,attended dlabs recent read account,0.2,0.2,0.2,0.2,0.2,Neutral
85,warm cold cold,0.367500,0.552500,0.470000,0.557500,0.370000,Sadness
86,leading creating,0.2,0.2,0.2,0.2,0.2,Neutral
87,tell make,0.2,0.2,0.2,0.2,0.2,Neutral
88,developed extendible,0.2,0.2,0.2,0.2,0.2,Neutral
89,putting big simulate critical kickstarted big,0.2,0.2,0.2,0.2,0.2,Neutral
90,adding almost always makes less orderly surprising new,0.2,0.2,0.2,0.2,0.2,Neutral
91,womens selected ncaadiii regional welcome william,0.2,0.2,0.2,0.2,0.2,Neutral
92,mba started th healing,1.900000,0.615000,0.705000,0.680000,0.575000,Happiness
